user_id,item_id,session_id,action_type,timestamp,category,price,title
user_722,item_4258,session_471,click,2023-04-06T01:40:17,home,312.56,Item 0
user_399,item_4200,session_704,favorite,2023-04-22T06:43:36,electronics,49.71,Item 1
user_290,item_4654,session_2189,click,2023-04-29T02:51:06,fashion,406.19,Item 2
user_8,item_655,session_2621,favorite,2023-04-04T11:54:45,electronics,421.67,Item 3
user_621,item_2425,session_1124,click,2023-04-12T04:32:40,fashion,78.23,Item 4
user_749,item_2562,session_1701,click,2023-04-15T21:00:49,home,34.51,Item 5
user_681,item_4161,session_1166,click,2023-04-07T08:40:09,electronics,257.66,Item 6
user_565,item_858,session_2569,view,2023-04-19T03:20:47,fashion,197.97,Item 7
user_96,item_64,session_668,view,2023-04-18T08:48:32,home,419.24,Item 8
user_942,item_2618,session_2251,purchase,2023-04-29T07:50:59,fashion,475.75,Item 9
user_377,item_2784,session_1541,favorite,2023-04-01T04:13:51,books,475.43,Item 10
user_348,item_2900,session_785,favorite,2023-04-15T09:11:35,toys,293.11,Item 11
user_352,item_246,session_1309,click,2023-04-22T03:41:49,toys,188.01,Item 12
user_692,item_3957,session_2023,purchase,2023-04-06T11:24:08,books,375.69,Item 13
user_774,item_55,session_289,click,2023-04-16T20:44:14,toys,222.98,Item 14
user_356,item_421,session_1298,purchase,2023-04-01T01:47:58,fashion,413.16,Item 15
user_684,item_2828,session_2817,purchase,2023-04-20T13:18:27,fashion,89.85,Item 16
user_44,item_2044,session_1516,view,2023-04-17T02:18:17,home,264.63,Item 17
user_832,item_4208,session_425,favorite,2023-04-20T01:17:28,books,213.82,Item 18
user_658,item_1982,session_2560,view,2023-04-17T17:05:57,fashion,88.91,Item 19
user_652,item_3295,session_2407,purchase,2023-04-17T22:04:24,home,387.71,Item 20
user_867,item_4337,session_221,view,2023-04-23T16:19:21,fashion,19.89,Item 21
user_740,item_2686,session_912,view,2023-04-07T16:24:18,home,313.48,Item 22
user_475,item_1910,session_1645,purchase,2023-04-29T14:47:09,toys,189.3,Item 23
user_543,item_111,session_1801,click,2023-04-24T15:06:21,toys,55.28,Item 24
user_867,item_1087,session_2938,click,2023-04-11T12:25:17,fashion,282.7,Item 25
user_674,item_1654,session_1249,favorite,2023-04-08T23:12:10,fashion,381.57,Item 26
user_491,item_3732,session_2931,purchase,2023-04-27T17:17:15,fashion,51.37,Item 27
user_555,item_3787,session_1467,purchase,2023-04-03T15:23:12,fashion,131.14,Item 28
user_349,item_4637,session_824,view,2023-04-11T18:45:32,fashion,499.41,Item 29
user_239,item_3858,session_2100,view,2023-04-12T11:29:13,toys,281.14,Item 30
user_530,item_4099,session_1163,click,2023-04-20T20:08:08,fashion,478.42,Item 31
user_287,item_2546,session_1786,favorite,2023-04-01T23:42:25,toys,419.14,Item 32
user_335,item_1947,session_2853,click,2023-04-28T10:02:51,books,448.4,Item 33
user_289,item_1257,session_299,favorite,2023-04-20T08:02:10,electronics,57.47,Item 34
user_109,item_3366,session_2630,view,2023-04-12T11:29:18,electronics,188.1,Item 35
user_300,item_1106,session_2362,favorite,2023-04-17T22:09:56,toys,213.45,Item 36
user_758,item_4208,session_2360,favorite,2023-04-15T20:26:45,fashion,348.97,Item 37
user_44,item_309,session_1292,click,2023-04-13T05:53:10,fashion,365.47,Item 38
user_488,item_2133,session_1829,click,2023-04-11T01:18:41,books,99.11,Item 39
user_128,item_4098,session_2554,favorite,2023-04-13T05:59:24,toys,274.78,Item 40
user_21,item_373,session_2379,view,2023-04-18T07:30:11,electronics,255.44,Item 41
user_579,item_2253,session_1974,click,2023-04-04T04:42:02,home,467.59,Item 42
user_612,item_2376,session_1254,view,2023-04-03T09:05:09,toys,273.72,Item 43
user_673,item_1853,session_164,view,2023-04-15T06:44:59,fashion,109.75,Item 44
user_116,item_2319,session_1572,favorite,2023-04-06T11:53:11,toys,219.94,Item 45
user_987,item_365,session_924,click,2023-04-26T08:12:54,home,489.9,Item 46
user_823,item_3731,session_992,click,2023-04-04T12:39:38,toys,186.9,Item 47
user_237,item_778,session_1758,click,2023-04-03T17:04:03,books,440.17,Item 48
user_200,item_2297,session_2722,click,2023-04-15T11:55:50,books,126.4,Item 49
user_897,item_320,session_1279,purchase,2023-04-26T16:20:17,fashion,10.15,Item 50
user_210,item_4472,session_1748,click,2023-04-28T15:42:58,books,80.91,Item 51
user_173,item_1305,session_475,click,2023-04-29T07:13:55,books,239.47,Item 52
user_421,item_2431,session_1432,click,2023-04-09T07:29:18,books,79.92,Item 53
user_709,item_3099,session_2452,favorite,2023-04-24T07:45:46,toys,201.33,Item 54
user_122,item_3643,session_2561,view,2023-04-25T07:04:02,fashion,333.08,Item 55
user_399,item_3846,session_865,favorite,2023-04-13T05:51:34,fashion,387.06,Item 56
user_772,item_4343,session_2292,favorite,2023-04-21T11:24:26,electronics,356.4,Item 57
user_823,item_1131,session_2565,favorite,2023-04-15T12:45:17,toys,151.16,Item 58
user_727,item_335,session_101,click,2023-04-11T09:31:15,books,18.86,Item 59
user_114,item_3239,session_290,favorite,2023-04-04T00:40:18,fashion,156.68,Item 60
user_361,item_2460,session_1412,favorite,2023-04-04T12:01:54,electronics,351.71,Item 61
user_563,item_2015,session_2261,click,2023-04-03T13:22:20,electronics,392.87,Item 62
user_106,item_1528,session_1359,click,2023-04-24T07:51:37,toys,288.19,Item 63
user_630,item_2310,session_1998,favorite,2023-04-27T08:19:29,books,447.76,Item 64
user_780,item_368,session_2932,view,2023-04-01T21:33:05,books,404.72,Item 65
user_653,item_1671,session_912,view,2023-04-27T10:01:54,books,16.4,Item 66
user_122,item_2007,session_930,view,2023-04-15T19:39:08,home,286.4,Item 67
user_935,item_557,session_44,purchase,2023-04-29T10:18:17,toys,169.14,Item 68
user_997,item_4540,session_1879,favorite,2023-04-07T02:42:41,books,14.91,Item 69
user_163,item_1371,session_1888,click,2023-04-11T16:37:40,books,34.69,Item 70
user_882,item_2631,session_1988,view,2023-04-27T15:41:29,home,263.72,Item 71
user_967,item_4462,session_381,favorite,2023-04-12T11:10:14,home,317.48,Item 72
user_704,item_2585,session_1628,favorite,2023-04-24T13:07:41,toys,405.85,Item 73
user_496,item_120,session_265,click,2023-04-18T01:30:31,fashion,79.57,Item 74
user_13,item_2184,session_19,purchase,2023-04-02T06:00:24,home,375.31,Item 75
user_684,item_2304,session_182,favorite,2023-04-26T00:18:47,home,261.9,Item 76
user_415,item_2001,session_929,click,2023-04-09T21:28:13,home,96.89,Item 77
user_919,item_712,session_2154,view,2023-04-16T04:01:51,fashion,180.26,Item 78
user_180,item_3119,session_1208,click,2023-04-08T01:58:21,toys,145.57,Item 79
user_61,item_3736,session_2196,view,2023-04-29T03:59:02,fashion,175.08,Item 80
user_74,item_999,session_2043,view,2023-04-15T22:19:48,electronics,391.46,Item 81
user_918,item_4997,session_766,purchase,2023-04-19T17:05:28,toys,375.13,Item 82
user_653,item_1881,session_938,click,2023-04-03T09:25:28,electronics,465.8,Item 83
user_142,item_2929,session_163,view,2023-04-08T21:52:02,fashion,162.82,Item 84
user_466,item_4170,session_1020,favorite,2023-04-30T23:38:23,toys,437.28,Item 85
user_235,item_4976,session_785,view,2023-04-22T11:39:32,books,192.03,Item 86
user_452,item_2539,session_584,click,2023-04-21T07:18:12,home,248.96,Item 87
user_249,item_148,session_2478,purchase,2023-04-13T21:40:13,books,336.36,Item 88
